action_id,canonical_group,reporting_entity,brand_or_business,strategy_code,action_date,action_period,action_status,action_description,intended_mechanism,geography,ownership_scope,source_document_id,source_url,source_locator,claim_label,extraction_status,linkage_eligibility,caveat
S6CACT_MYR_003,Mayora,PT Mayora Indah Tbk,Corporate capital allocation,STR07,2025-06-11,2025,implemented,Implemented a share-buyback program approved with a maximum value of Rp1 trillion; 101.11 million shares had been repurchased by 31 December 2025.,Execute a disclosed capital-allocation decision within the approved buyback framework.,Indonesia,PT Mayora Indah Tbk,S6BDOC_MYR_AR_2025,https://www.mayoraindah.co.id/assets/upload/file/ar2025-mayora-web-version.pdf,"Annual Report 2025, Share Buyback section",company_reported_action,extracted,context_only_for_consumer_performance,"A share buyback is a capital-allocation action, not evidence of consumer-market success."
S6CACT_MYR_004,Mayora,PT Mayora Indah Tbk,Supply and procurement,STR05,,2025,ongoing_documented,Reported maximizing the use of domestic raw materials as part of managing input and foreign-exchange risk.,Reduce exposure to imported-input and exchange-rate volatility where feasible.,Indonesia plus export operations,PT Mayora Indah Tbk and consolidated subsidiaries,S6BDOC_MYR_AR_2025,https://www.mayoraindah.co.id/assets/upload/file/ar2025-mayora-web-version.pdf,"Annual Report 2025, Risk Management section",company_reported_action,extracted,eligible_for_later_assessment,No margin effect is inferred solely from this procurement policy.
S6CACT_UNV_001,Unilever Indonesia,PT Unilever Indonesia Tbk,Company portfolio,STR04,,2024,implemented,"Expanded focus on general trade, minimarkets and digital commerce while optimizing the distribution network.",Increase product availability across growing channels and consumer touchpoints.,Indonesia,PT Unilever Indonesia Tbk controlled portfolio in 2024,S6BDOC_UNV_AR_2024,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,"Annual Report 2024, Expanding Distribution Channels",company_reported_action,extracted,eligible_for_later_assessment,Distribution actions are not automatically consumer reach.
S6CACT_UNV_002,Unilever Indonesia,PT Unilever Indonesia Tbk,Company portfolio,STR03,,2024,implemented,Standardized promotions as part of channel execution.,Improve consistency of commercial execution across channels.,Indonesia,PT Unilever Indonesia Tbk controlled portfolio in 2024,S6BDOC_UNV_AR_2024,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,"Annual Report 2024, Expanding Distribution Channels",company_reported_action,extracted,eligible_for_later_assessment,No promotion-effect estimate is inferred.
S6CACT_UNV_003,Unilever Indonesia,PT Unilever Indonesia Tbk,General Trade portfolio,STR02,,2024,implemented,Used small-pack formats with coinage pricing in General Trade.,Support affordability and accessibility for price-sensitive consumers.,Indonesia,PT Unilever Indonesia Tbk controlled portfolio in 2024,S6BDOC_UNV_AR_2024,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,"Annual Report 2024, Expanding Distribution Channels",company_reported_action,extracted,eligible_for_later_assessment,The reported effect is retained separately as a company-attribution claim.
S6CACT_UNV_004,Unilever Indonesia,PT Unilever Indonesia Tbk,Wipol,STR01,,2024,implemented,Relaunched Wipol with a stronger germ-and-virus-kill formula and a long-lasting fragrance proposition.,Improve the product proposition in home hygiene.,Indonesia,Wipol controlled by PT Unilever Indonesia Tbk in 2024,S6BDOC_UNV_AR_2024,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,"Annual Report 2024, Breakthrough Performance and Market Resilience",company_reported_action,extracted,eligible_for_later_assessment,The source's leadership wording is not treated as an independently measured outcome.
S6CACT_UNV_005,Unilever Indonesia,PT Unilever Indonesia Tbk,Trika,STR01,,2024,implemented,Relaunched Trika with an improved and more competitive product mix.,Broaden the proposition to serve more consumer needs.,Indonesia,Trika controlled by PT Unilever Indonesia Tbk in 2024,S6BDOC_UNV_AR_2024,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,"Annual Report 2024, Breakthrough Performance and Market Resilience",company_reported_action,extracted,eligible_for_later_assessment,No category-performance effect is inferred from the relaunch.
S6CACT_UNV_006,Unilever Indonesia,PT Unilever Indonesia Tbk,Sunlight,STR01,,Q1_2025,implemented,Used a superior-formulation and attractive-packaging proposition in the Sunlight strategy example.,Strengthen product superiority and purchase intent.,Indonesia,Sunlight controlled by PT Unilever Indonesia Tbk in Q1 2025,S6BDOC_UNV_008,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,"Q1 2025 Earnings Call, Strategy Update — Product and Packaging",company_reported_action,extracted,eligible_for_later_assessment,Product claims remain company-reported.
S6CACT_UNV_007,Unilever Indonesia,PT Unilever Indonesia Tbk,Sunlight,STR03,,Q1_2025,implemented,Used social-first communication and large out-of-home promotion in the Sunlight launch approach.,Increase launch visibility and communication reach.,Indonesia,Sunlight controlled by PT Unilever Indonesia Tbk in Q1 2025,S6BDOC_UNV_008,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,"Q1 2025 Earnings Call, Strategy Update — Promotion",company_reported_action,extracted,eligible_for_later_assessment,Media investment does not establish outcome causation.
S6CACT_UNV_008,Unilever Indonesia,PT Unilever Indonesia Tbk,Sunlight,STR04,,Q1_2025,implemented,Executed broad outlet coverage and visibility during the launch.,Increase availability and visibility in directly served stores.,Indonesia,Sunlight controlled by PT Unilever Indonesia Tbk in Q1 2025,S6BDOC_UNV_008,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,"Q1 2025 Earnings Call, Strategy Update — Place",company_reported_action,extracted,eligible_for_later_assessment,"The corresponding coverage measure is retained separately as OUT17, not consumer reach."
S6CACT_UNV_009,Unilever Indonesia,PT Unilever Indonesia Tbk,Sunlight,STR02,,Q1_2025,implemented,Applied competitive pricing through Net Revenue Management in the Sunlight strategy example.,Manage price positioning while supporting the launch proposition.,Indonesia,Sunlight controlled by PT Unilever Indonesia Tbk in Q1 2025,S6BDOC_UNV_008,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,"Q1 2025 Earnings Call, Strategy Update — Pricing",company_reported_action,extracted,eligible_for_later_assessment,No price/mix outcome is inferred without an explicitly reported measure.
S6CACT_UNV_010,Unilever Indonesia,PT Unilever Indonesia Tbk,Ice Cream business,STR09,2025-12-08,2025,completed,Completed the separation of the Ice Cream business on 8 December 2025.,Change the controlled portfolio perimeter through a completed business separation.,Indonesia,controlled through 2025-12-08; separated thereafter,S6BDOC_UNV_FS_2025,https://www.unilever.co.id/files/indonesia-financial-statements-q4-2025.pdf,"FY2025 Financial Statements, discontinued-operation / Note 39 context",company_reported_or_filing_action,extracted,context_only_for_post_disposal_comparison,Later observations must respect the ownership end date and represented comparators.
