target_id,canonical_group,reporting_perimeter,portfolio_role,evidence_family,target_source_type,target_period,geography,strategy_codes,outcome_ids,discovery_status,required_treatment
S6A_T11,Indofood,PT Indofood CBP Sukses Makmur Tbk,primary_portfolio,period_results,official_earnings_release,FY2022–FY2025,consolidated,STR02;STR04;STR05;STR06;STR08,OUT07;OUT08;OUT09;OUT10;OUT13;OUT14,discovered,Keep management explanations labelled company-reported.
S6A_T12,Indofood,Bogasari consumer flour portfolio,primary_portfolio,segment_evidence,annual_report_or_segment_disclosure,FY2022–FY2025,Indonesia,STR01;STR02;STR04;STR05;STR06;STR07;STR08,OUT07;OUT08;OUT09;OUT15;OUT16;OUT17,discovered,Exclude industrial-only outcomes from packaged-FMCG interpretation.
S6A_T13,Indofood,Agribusiness consumer edible oils and fats,primary_portfolio,segment_evidence,annual_report_or_segment_disclosure,FY2022–FY2025,Indonesia,STR01;STR02;STR04;STR05;STR06;STR07;STR08,OUT07;OUT08;OUT09;OUT15;OUT16;OUT17,discovered,Separate consumer oils and fats from plantations and upstream operations.
S6A_T14,Mayora,PT Mayora Indah Tbk and consolidated subsidiaries,primary_portfolio,annual_reporting,annual_report,FY2022–FY2025,Indonesia plus exports,STR01;STR02;STR03;STR04;STR05;STR06;STR07;STR08;STR09,OUT07;OUT08;OUT09;OUT10;OUT11;OUT12;OUT13;OUT14;OUT15;OUT16;OUT17,discovered,Preserve domestic/export and consolidated scope.
S6A_T15,Mayora,PT Mayora Indah Tbk and consolidated subsidiaries,primary_portfolio,audited_financials,audited_financial_statement,FY2022–FY2025,Indonesia plus exports,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15,discovered,Do not interpret export-heavy consolidated results as Indonesian household demand.
S6A_T16,Mayora,PT Mayora Indah Tbk,primary_portfolio,public_disclosures,regulatory_or_public_expose,2022–2025,Indonesia / disclosed transaction scope,STR06;STR07;STR09,OUT15;OUT16,discovered_with_period_gaps,Use only dated disclosures with explicit transaction/entity scope.
S6A_T17,Mayora,PT Mayora Indah Tbk and consolidated subsidiaries,primary_portfolio,geography_split,annual_report_or_financial_statement,FY2022–FY2025,domestic versus export,,OUT07;OUT08,discovered,Retain domestic and export measures separately where disclosed.
S6A_T18,Mayora,PT Tirta Fresindo Jaya / Le Minerale,sensitivity_only,affiliate_context,official_or_authoritative_source,2022–2025,Indonesia,STR01;STR03;STR04;STR06;STR09,OUT07;OUT08;OUT16;OUT17,conditional_sensitivity_only,Do not include in strict-control primary Mayora results.
S6A_T19,Unilever Indonesia,PT Unilever Indonesia Tbk controlled portfolio,primary_time_varying,annual_reporting,annual_report,FY2022–FY2025,Indonesia,STR01;STR02;STR03;STR04;STR05;STR06;STR07;STR08;STR09,OUT07;OUT08;OUT09;OUT10;OUT11;OUT12;OUT13;OUT14;OUT15;OUT16;OUT17;OUT18,discovered,Apply ownership-period validity to every brand/business result.
S6A_T20,Unilever Indonesia,PT Unilever Indonesia Tbk controlled portfolio,primary_time_varying,audited_financials,audited_financial_statement,FY2022–FY2025,Indonesia with export disclosure where reported,,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14;OUT15,discovered,"Preserve restatements, continuing-operation scope and geography."
S6A_T21,Unilever Indonesia,PT Unilever Indonesia Tbk controlled portfolio,primary_time_varying,results_presentations,official_investor_presentation,2022–2025,Indonesia,STR01;STR02;STR03;STR04;STR05;STR06;STR07;STR08,OUT07;OUT08;OUT09;OUT10;OUT13;OUT14;OUT17;OUT18,discovered,Treat strategy-result explanations as company-reported unless independently supported.
S6A_T22,Unilever Indonesia,Ice Cream and SariWangi disposal scope,ownership_change_context,disposal_filings_and_financials,2024–2026,Indonesia,STR09,OUT07;OUT08;OUT13;OUT14,discovered,Do not carry disposed businesses into later-period outcomes.,
S6A_T23,Unilever Indonesia,PT Unilever Indonesia Tbk continuing portfolio,primary_time_varying,continuing_operation_bridge,annual_report_or_financial_statement,FY2024–FY2025,Indonesia,STR09,OUT07;OUT08;OUT11;OUT12;OUT13;OUT14,discovered,Use restated/represented prior-period values when the source reports them.
S6A_T24,Cross-company context,Indonesia macro and input-cost context,context_only,official_context,government_or_official_statistics,2022–2025,Indonesia,,,conditional_not_yet_acquired,Acquire only when required to assess disclosed alternative factors.
S6A_T25,Cross-company context,Consumer reach context,context_only,consumer_reach,licensed_or_public_industry_research,2022–2025 study editions,Indonesia,,OUT06,conditional_existing_limited_source,CRP or reach metrics remain source-native and are not market share.
S6A_T26,Cross-company context,Defined category market measurement,context_or_conditional_comparison,market_measurement,licensed_or_public_industry_research,2022–2025,Indonesia,,OUT18,conditional_not_yet_acquired,Use market-share terminology only when the source explicitly measures a defined market share.
