inventory_id,source_family,source_id,edition_or_year,reference_period,geography,survey_scope,metric,public_observation_level,public_access_status,comparability_class,methodology_status,eligible_project_role,automated_acquisition_status,repository_storage_policy,notes
PSI011,Top Brand,"SRC_TBA_003;SRC_TBA_004",2025,2025,Indonesia,Public index and selected longitudinal comparisons,TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,historical_methodology_not_verified,"category_strength; category_leadership; consistency_candidate",manual_limited_only,derived_observations_only,"Historical category and methodology continuity require explicit validation."
PSI012,Top Brand,"SRC_TBA_001;SRC_TBA_003;SRC_TBA_004",2026,2026,Indonesia,"Current Phase 1, Phase 2, and other eligible published survey universes",TBI; TOP status; ordinal category position,brand x subcategory x phase x year,public,comparable_with_caveat,current_methodology_documented,"category_strength; category_leadership; current_status",manual_limited_only,derived_observations_only,"Current methodology is documented, but direct equivalence with prior years is not assumed."
PSI013,Brand Footprint,SRC_WPN_003,2016,2016_edition,Indonesia urban,More than 400 brands,CRP; penetration,edition summary and selected observations,public_summary,comparable_with_caveat,urban_edition_documented,"consumer_reach_context; urban_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Urban-only frame; not comparable directly with national urban-rural editions."
PSI014,Brand Footprint,SRC_WPN_004,2017,2016_consumer_observations,Indonesia urban,"5,700 households representing about 28 million urban households",CRP; penetration; purchase frequency,selected ranking and methodology observations,public_summary,comparable_with_caveat,urban_edition_documented,"consumer_reach; urban_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Urban-only frame."
PSI015,Brand Footprint,SRC_WPN_005,2018,2018_edition,Indonesia,Public summary; full geography and sample metadata not restated,CRP; rank,selected statements,public_summary,context_only,methodology_partially_documented,consumer_reach_context,no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Do not place in a longitudinal series until geography and methodology are corroborated."
PSI016,Brand Footprint,SRC_WPN_006,2019,2019_edition,Indonesia urban,About 29 million households and up to 85% urban coverage,CRP; rank,edition summary and selected observations,public_summary,comparable_with_caveat,urban_edition_documented,"consumer_reach; urban_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Urban-only frame."
PSI017,Brand Footprint,SRC_WPN_007,2020,2020_edition,Indonesia urban,About 30 million households and up to 85% urban coverage,CRP; rank,edition summary and selected observations,public_summary,comparable_with_caveat,urban_edition_documented,"consumer_reach; urban_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Last verified urban-only edition before the 2021 coverage change."
PSI018,Brand Footprint,SRC_WPN_008,2021,2020_consumer_observations,Indonesia urban and rural,"Five FMCG sectors; 97% of about 68 million households",CRP; penetration; consumer choice,edition summary and selected observations,public_summary,comparable_with_caveat,national_coverage_documented,"consumer_reach; national_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Verified coverage break from prior urban-only editions."
PSI019,Brand Footprint,SRC_WPN_009,2022,2021_consumer_observations,Indonesia urban and rural,"More than 550 brands; five FMCG sectors; 97% of about 68 million households",CRP; penetration; consumer choice,edition summary and selected observations,public_summary,comparable_with_caveat,national_coverage_documented,"consumer_reach; national_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Reference period is consumer year 2021 rather than publication year 2022."
PSI020,Brand Footprint,SRC_WPN_010,2023,2022_consumer_observations,Indonesia,Public summary with selected reach and growth observations,CRP; household reach; selected growth,selected observations,public_summary,comparable_with_caveat,methodology_partially_documented,"consumer_reach_context; national_longitudinal_candidate_pending_validation",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Full sample and coverage metadata are not restated on the official public page."
PSI021,Brand Footprint,SRC_WPN_001,2024,2024_study_edition,Indonesia urban and rural,"More than 550 brands; five FMCG sectors; 97% of about 70 million households",CRP; household reach; selected growth,edition summary and selected observations,public_summary,comparable_with_caveat,national_coverage_documented,"consumer_reach; national_longitudinal_candidate",no_automated_bulk_acquisition,reference_and_limited_derived_facts_only,"Exact underlying observation period must be preserved from edition documentation before longitudinal calculations."
PSI022,Brand Footprint,,2025,,Indonesia,Official report page not found in the official website inventory at retrieval date,,,not_found,not_comparable,not_available,not_eligible,no_acquisition,no_storage,"An official social announcement is insufficient to substitute for an edition report or documented dataset."
