source_id,publisher,canonical_group,reporting_entity,document_title,source_type,source_url,direct_file_url,publication_date,reference_period,geography,reporting_scope,priority_tier,discovery_status,access_status,copyright_status,redistribution_status,automated_access_status,raw_storage_policy,claim_label,planned_role,source_notes,retrieval_date
S6ASRC_IDF_004,PT Indofood Sukses Makmur Tbk,Indofood,website,Terms & Condition,terms_of_use,https://www.indofood.com/page/terms-condition,,,current_terms,Global site,copyright and permitted-use rules,1,discovered,public,copyrighted,limited_noncommercial_extracts_no_incorporation,manual_limited_only,reference_only,authoritative_legal_terms,legal/access audit,Terms permit non-commercial informational extracts but prohibit modification/incorporation/posting into another site.,2026-08-21
S6ASRC_ICBP_001,PT Indofood CBP Sukses Makmur Tbk,Indofood,PT Indofood CBP Sukses Makmur Tbk,Annual Report,annual_report_index,https://www.indofoodcbp.com/investor-relation/annual-report,,,FY2022–FY2025,consolidated ICBP,annual reports 2022–2025 listed,1,discovered,public,copyrighted_presumed,reference_only_pending_specific_terms,manual_or_single_document_download,reference_only,company_reported,ICBP strategy and result source family,Specific content-reuse terms were not resolved in Stage 6A.,2026-08-21
S6ASRC_ICBP_002,PT Indofood CBP Sukses Makmur Tbk,Indofood,PT Indofood CBP Sukses Makmur Tbk,Financial Statements,financial_statement_index,https://www.indofoodcbp.com/menu/financial-statements,,,FY2022–FY2025,consolidated ICBP,financial statements for target years listed,1,discovered,public,copyrighted_presumed,reference_only_pending_specific_terms,manual_or_single_document_download,reference_only,company_reported_or_audited,audited result source family,Preserve ICBP consolidation and geography.,2026-08-21
S6ASRC_ICBP_003,PT Indofood CBP Sukses Makmur Tbk,Indofood,PT Indofood CBP Sukses Makmur Tbk,ICBP full-year results for 2024,official_earnings_release,https://www.indofoodcbp.com/menu/financial-press-releases/icbps-full-year-financial-results-for-the-year-ended-31-december-2024,,2025-03-25,FY2024,consolidated ICBP,"sales, operating income, margin, volume/productivity management explanation",2,discovered,public,copyrighted_presumed,reference_only_pending_specific_terms,manual_limited_only,reference_only,company_reported,period-result and explanation source,Management attribution remains company-reported.,2026-08-21
S6ASRC_ICBP_004,PT Indofood CBP Sukses Makmur Tbk,Indofood,PT Indofood CBP Sukses Makmur Tbk,Consolidated Financial Statements 2025,audited_financial_statement,https://indofoodcbp.com/uploads/statement/ICBP_billingual_31_dec_25_released.pdf,,2026,FY2025,consolidated ICBP,audited consolidated financial statements,1,discovered,public,copyrighted_presumed,reference_only_pending_specific_terms,single_document_download_only,reference_only,company_reported_or_audited,FY2025 audited results,Do not mirror raw PDF without explicit redistribution permission.,2026-08-21
S6ASRC_ICBP_005,PT Indofood CBP Sukses Makmur Tbk,Indofood,website,Privacy Policy,privacy_policy,https://www.indofoodcbp.com/privacy-policy,,,current_terms_context,website,privacy/submission policy only,4,discovered,public,copyrighted_presumed,not_sufficient_for_content_reuse,manual_only,reference_only,context_only,legal/access context,Does not provide a general redistribution license.,2026-08-21
S6ASRC_MYR_001,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Mayora Annual Report,annual_report_index,https://www.mayoraindah.co.id/content/laporan-tahunan-mayora-21,,,FY2022–FY2025,consolidated,annual reports 2022–2025 listed,1,discovered,public,copyrighted,no_raw_redistribution,manual_limited_only,reference_only,company_reported,strategy and company-result source family,Mayora terms prohibit reproduction/distribution without permission.,2026-08-21
S6ASRC_MYR_002,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Annual Financial Statements,financial_statement_index,https://mayoraindah.co.id/content/Laporan-Keuangan-Tahunan-23,,,FY2022–FY2025,consolidated,annual financial statements 2022–2025 listed,1,discovered,public,copyrighted,no_raw_redistribution,manual_limited_only,reference_only,company_reported_or_audited,audited result source family,Use source-native domestic/export and accounting scope.,2026-08-21
S6ASRC_MYR_003,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Public Expose,public_expose_index,https://mayoraindah.co.id/content/Public-Expose-95,,,2022 and current items,Indonesia,public-expose materials; target-period coverage has gaps,2,discovered_with_period_gaps,public,copyrighted,no_raw_redistribution,manual_limited_only,reference_only,company_reported,strategy/disclosure discovery,Do not infer missing years as no strategy.,2026-08-21
S6ASRC_MYR_004,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Information Disclosure,regulatory_disclosure_index,https://mayoraindah.co.id/en/content/Keterbukaan-Informasi-91,,,current_archive,Indonesia / transaction-specific,material corporate disclosures,1,discovered,public,copyrighted,no_raw_redistribution,manual_limited_only,reference_only,authoritative_filing_or_company_reported,ownership/capital action discovery,Use filing date and transaction scope.,2026-08-21
S6ASRC_MYR_005,PT Mayora Indah Tbk,Mayora,website,Terms & Conditions,terms_of_use,https://www.mayoraindah.co.id/terms-and-condition?lang=en,,,current_terms,website,copyright and site-use restrictions,1,discovered,public,copyrighted,no_reproduction_or_systematic_download,no_bulk_or_systematic_download,reference_only,authoritative_legal_terms,legal/access audit,"Terms prohibit reproduction, distribution, publication and systematic downloading without permission.",2026-08-21
S6ASRC_MYR_006,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Annual Report 2025,annual_report,https://mayoraindah.co.id/assets/upload/file/ar-mayora-2025-30042026-03.pdf,,2026,FY2025,consolidated,"corporate structure, strategy and consolidated results",1,discovered,public,copyrighted,no_raw_redistribution,single_document_reference,reference_only,company_reported,FY2025 annual-report reference,Already present in inherited source registry; do not mirror raw.,2026-08-21
S6ASRC_MYR_007,PT Mayora Indah Tbk,Mayora,PT Mayora Indah Tbk,Consolidated Financial Statements 2025,audited_financial_statement,https://www.mayoraindah.co.id/assets/upload/file/pt-mayora-indah-tbk-and-its-subsidaries-2025.pdf,,2026,FY2025,consolidated,audited financial statements and related-party classification,1,discovered,public,copyrighted,no_raw_redistribution,single_document_reference,reference_only,company_reported_or_audited,FY2025 audited-results reference,Already present in inherited source registry; do not mirror raw.,2026-08-21
S6ASRC_UNV_001,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Reports,annual_report_index,https://www.unilever.co.id/en/investors/annual-financial-and-sustainability-report/annual-reports/,,,FY2022–FY2025,Indonesia,annual reports 2022–2025 with publication dates and PDF links,1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,strategy and company-result source family,Conservative repository policy remains reference-only.,2026-08-21
S6ASRC_UNV_002,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Report 2025,annual_report,https://www.unilever.co.id/files/annual-reports-2025.pdf,,2026-04-29,FY2025,Indonesia,"annual strategy, results and portfolio reporting",1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,FY2025 annual-report reference,Do not combine or republish raw content in repository.,2026-08-21
S6ASRC_UNV_003,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Report 2024,annual_report,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,,2025-04-30,FY2024,Indonesia,"annual strategy, results and portfolio reporting",1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,FY2024 annual-report reference,Contains explicit strategy discussion; treat attribution as company-reported.,2026-08-21
S6ASRC_UNV_004,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Report 2023,annual_report,https://www.unilever.co.id/files/indonesia-annual-report-2023.pdf,,2024-05-01,FY2023,Indonesia,"annual strategy, results and portfolio reporting",1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,FY2023 annual-report reference,Preserve source-native definitions.,2026-08-21
S6ASRC_UNV_005,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Report 2022,annual_report,https://www.unilever.co.id/files/d5395e35-a1aa-4965-a059-828b456c10fe/unilever-ar-2022-130723-aqtsgf--1-.pdf,,2023-05-01,FY2022,Indonesia,"annual strategy, results and portfolio reporting",1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,FY2022 annual-report reference,Preserve observation-period ownership.,2026-08-21
S6ASRC_UNV_006,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Financial Statements 2025,audited_financial_statement,https://www.unilever.co.id/files/indonesia-financial-statements-q4-2025.pdf,,2026,FY2025,Indonesia with domestic/export split,audited annual financial statements; restated 2024 comparator,1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported_or_audited,FY2025 audited-results reference,Use restated/represented comparator and continuing/disposed scope.,2026-08-21
S6ASRC_UNV_007,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Annual Financial Statements 2023,audited_financial_statement,https://www.unilever.co.id/files/unilever-indonesia-annual-financial-statements-q4-2023.pdf,,2024,FY2023 and FY2022,Indonesia,audited annual financial statements,1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported_or_audited,FY2023/FY2022 audited-results reference,Use as accounting support for both years.,2026-08-21
S6ASRC_UNV_008,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Q1 2025 Earnings Call Presentation,official_investor_presentation,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,,2025,Q1_2025,Indonesia,"strategy update including product, promotion, place and pricing actions",1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,single_document_download,reference_only,company_reported,strategy evidence,Interim presentation is strategy evidence; Q1 outcomes remain interim context unless like-for-like.,2026-08-21
S6ASRC_UNV_009,PT Unilever Indonesia Tbk,Unilever Indonesia,website,Legal Notes,terms_of_use,https://www.unilever.co.id/en/legal/,,,current_terms,website,copyright and permitted-use rules,1,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,manual_limited_only,reference_only,authoritative_legal_terms,legal/access audit,Terms allow non-commercial informational reproduction but prohibit modification/combination with other works/sites.,2026-08-21
S6ASRC_UNV_010,PT Unilever Indonesia Tbk,Unilever Indonesia,PT Unilever Indonesia Tbk,Corporate Governance,official_corporate_webpage,https://www.unilever.co.id/en/investors/corporate-governance/,,,current_page,Indonesia,operating-company and governance context,2,discovered,public,copyrighted,limited_noncommercial_reproduction_no_combination,manual_limited_only,reference_only,company_reported_current_context,entity-perimeter context,Current page only; do not backdate.,2026-08-21
S6ASRC_WPN_001,Worldpanel by Numerator,Cross-company context,research provider,Indonesia Brand Footprint 2024,consumer_panel_report_webpage,https://market.worldpanelbynumerator.com/id/News/Indonesia-Brand-Footprint-2024,,2024-06-28,2024_study_edition,Indonesia,public summary of reach/consumer-choice study,3,inherited_existing_limited_source,public_summary,copyrighted,limited_factual_use_only,no_bulk_extraction,reference_only,external_measurement,conditional consumer-reach context,CRP remains source-native and is not market share.,2026-08-21
S6ASRC_WPN_002,Worldpanel by Numerator,Cross-company context,research provider,Website Terms and Conditions,terms_of_use,https://market.worldpanelbynumerator.com/en/terms-and-conditions/,,,current_terms,website,intellectual-property and reuse conditions,3,inherited_existing_source,public,copyrighted,reference_only,no_bulk_copy,reference_only,authoritative_legal_terms,legal/access audit,Retain provenance and limited factual derivation only.,2026-08-21
