document_id,canonical_group,reporting_entity,stage6a_target_ids,source_family,document_title,source_type,reference_period,publication_date,geography,source_url,direct_file_url,resolution_status,acquisition_status,priority_tier,evidence_role,claim_label,ownership_scope,comparability_treatment,repository_storage_policy,legal_treatment,retrieval_date,notes
S6BDOC_IDF_AR_2023,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T06;S6A_T12;S6A_T13,annual_reporting,Annual Report 2023,annual_report,FY2023,,consolidated / segment disclosures,https://www.indofood.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,"annual strategy, entity-scope and company-result source",company_reported,parent consolidated with segment disclosures,preserve parent/segment and consumer/upstream boundaries,reference_only,reference_only_no_repo_copy,2026-08-21,Official annual-report index confirms the target-year report; direct file URL is intentionally unresolved in Stage 6B.
S6BDOC_IDF_AR_2024,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T06;S6A_T12;S6A_T13,annual_reporting,Annual Report 2024,annual_report,FY2024,,consolidated / segment disclosures,https://www.indofood.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,"annual strategy, entity-scope and company-result source",company_reported,parent consolidated with segment disclosures,preserve parent/segment and consumer/upstream boundaries,reference_only,reference_only_no_repo_copy,2026-08-21,Official annual-report index confirms the target-year report; direct file URL is intentionally unresolved in Stage 6B.
S6BDOC_IDF_AR_2025,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T06;S6A_T12;S6A_T13,annual_reporting,Annual Report 2025,annual_report,FY2025,,consolidated / segment disclosures,https://www.indofood.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,"annual strategy, entity-scope and company-result source",company_reported,parent consolidated with segment disclosures,preserve parent/segment and consumer/upstream boundaries,reference_only,reference_only_no_repo_copy,2026-08-21,Official annual-report index confirms the target-year report; direct file URL is intentionally unresolved in Stage 6B.
S6BDOC_IDF_FS_2022,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T07,audited_financials,Annual Financial Statements 2022,audited_financial_statement,FY2022,,consolidated,https://www.indofood.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,parent consolidated,do not attribute consolidated results to individual brands,reference_only,reference_only_no_repo_copy,2026-08-21,Official financial-statement index confirms the target year; direct file URL remains unresolved.
S6BDOC_IDF_FS_2023,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T07,audited_financials,Annual Financial Statements 2023,audited_financial_statement,FY2023,,consolidated,https://www.indofood.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,parent consolidated,do not attribute consolidated results to individual brands,reference_only,reference_only_no_repo_copy,2026-08-21,Official financial-statement index confirms the target year; direct file URL remains unresolved.
S6BDOC_IDF_FS_2024,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T07,audited_financials,Annual Financial Statements 2024,audited_financial_statement,FY2024,,consolidated,https://www.indofood.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,parent consolidated,do not attribute consolidated results to individual brands,reference_only,reference_only_no_repo_copy,2026-08-21,Official financial-statement index confirms the target year; direct file URL remains unresolved.
S6BDOC_IDF_FS_2025,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T07,audited_financials,Annual Financial Statements 2025,audited_financial_statement,FY2025,,consolidated,https://www.indofood.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,parent consolidated,do not attribute consolidated results to individual brands,reference_only,reference_only_no_repo_copy,2026-08-21,Official financial-statement index confirms the target year; direct file URL remains unresolved.
S6BDOC_IDF_009,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T08,period_results,Full-year financial results FY2022,official_earnings_release,FY2022,2023-03-27,consolidated,https://www.indofood.com/menu/financial-press-releases/indofoods-full-year-financial-results-for-the-year-ended-31-december-2022,,direct_page_verified,acquired_reference,2,period-result corroboration,company_reported,parent consolidated,reconcile with audited/annual reporting,reference_only,reference_only_no_repo_copy,2026-08-21,Management explanations remain company-reported.
S6BDOC_IDF_010,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T08,period_results,Full-year financial results FY2023,official_earnings_release,FY2023,2024-03-25,consolidated,https://www.indofood.com/menu/financial-press-releases/indofoods-full-year-financial-results-for-the-year-ended-31-december-2023,,direct_page_verified,acquired_reference,2,period-result corroboration,company_reported,parent consolidated,reconcile with audited/annual reporting,reference_only,reference_only_no_repo_copy,2026-08-21,Management explanations remain company-reported.
S6BDOC_IDF_011,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T08,period_results,Full-year financial results FY2024,official_earnings_release,FY2024,2025-03-25,consolidated,https://www.indofood.com/menu/financial-press-releases/indofoods-full-year-financial-results-for-the-year-ended-31-december-2024,,direct_page_verified,acquired_reference,2,period-result corroboration,company_reported,parent consolidated,reconcile with audited/annual reporting,reference_only,reference_only_no_repo_copy,2026-08-21,Management explanations remain company-reported.
S6BDOC_IDF_012,Indofood,PT Indofood Sukses Makmur Tbk via First Pacific Company Limited,S6A_T08,period_results,Indofood FY2025 results republication,official_parent_regulatory_republication,FY2025,2026-03-30,consolidated,https://doc.irasia.com/listco/hk/firstpacific/press/p260330.pdf,https://doc.irasia.com/listco/hk/firstpacific/press/p260330.pdf,official_parent_or_regulatory_republication,verified_reference_only,3,FY2025 result corroboration,company_reported,Indofood parent consolidated results republished by listed parent,not a substitute for an Indofood owned-domain release where one becomes available,reference_only,reference_only_no_repo_copy,2026-08-21,Used only to close the FY2025 release-reference gap with an explicit source caveat.
S6BDOC_IDF_013,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T12,segment_scope,Bogasari,official_corporate_webpage,current_page,,Indonesia,https://www.indofood.com/business/bogasari,,official_page_verified,verified_reference_only,2,consumer flour and pasta perimeter definition,company_reported,Bogasari consumer and industrial activities are both described,consumer portfolio interpretation must exclude industrial-only outcomes,reference_only,reference_only_no_repo_copy,2026-08-21,Supports perimeter definition; not a time-series result source.
S6BDOC_IDF_014,Indofood,PT Indofood Sukses Makmur Tbk,S6A_T13,segment_scope,Agribusiness,official_corporate_webpage,current_page,,Indonesia,https://www.indofood.com/business/agribusiness,,official_page_verified,verified_reference_only,2,consumer edible-oils/fats perimeter definition,company_reported,Agribusiness includes upstream and downstream activities,consumer EOF must remain separated from plantations and industrial products,reference_only,reference_only_no_repo_copy,2026-08-21,Supports explicit downstream consumer-versus-upstream separation.
S6BDOC_ICBP_AR_2022,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T09,annual_reporting,ICBP Annual Report 2022,annual_report,FY2022,,consolidated ICBP,https://www.indofoodcbp.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,annual strategy and result source,company_reported,ICBP consolidated; includes disclosed overseas operations,preserve geography and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Target-year report is confirmed by official investor materials; direct file URL is not required for Stage 6B.
S6BDOC_ICBP_AR_2023,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T09,annual_reporting,ICBP Annual Report 2023,annual_report,FY2023,,consolidated ICBP,https://www.indofoodcbp.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,annual strategy and result source,company_reported,ICBP consolidated; includes disclosed overseas operations,preserve geography and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Target-year report is confirmed by official investor materials; direct file URL is not required for Stage 6B.
S6BDOC_ICBP_AR_2024,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T09,annual_reporting,ICBP Annual Report 2024,annual_report,FY2024,,consolidated ICBP,https://www.indofoodcbp.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,annual strategy and result source,company_reported,ICBP consolidated; includes disclosed overseas operations,preserve geography and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Target-year report is confirmed by official investor materials; direct file URL is not required for Stage 6B.
S6BDOC_ICBP_AR_2025,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T09,annual_reporting,ICBP Annual Report 2025,annual_report,FY2025,,consolidated ICBP,https://www.indofoodcbp.com/investor-relation/annual-report,,official_index_entry_verified,verified_reference_only,1,annual strategy and result source,company_reported,ICBP consolidated; includes disclosed overseas operations,preserve geography and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Target-year report is confirmed by official investor materials; direct file URL is not required for Stage 6B.
S6BDOC_ICBP_FS_2022,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T10,audited_financials,ICBP Annual Financial Statements 2022,audited_financial_statement,FY2022,,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,ICBP consolidated,preserve overseas and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Official index confirms the target year; direct file URL remains unresolved.
S6BDOC_ICBP_FS_2023,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T10,audited_financials,ICBP Annual Financial Statements 2023,audited_financial_statement,FY2023,,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,ICBP consolidated,preserve overseas and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Official index confirms the target year; direct file URL remains unresolved.
S6BDOC_ICBP_FS_2024,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T10,audited_financials,ICBP Annual Financial Statements 2024,audited_financial_statement,FY2024,,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-statements,,official_index_entry_verified,verified_reference_only,1,audited result source,company_reported_or_audited,ICBP consolidated,preserve overseas and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,Official index confirms the target year; direct file URL remains unresolved.
S6BDOC_ICBP_FS_2025,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T10,audited_financials,ICBP Annual Financial Statements 2025,audited_financial_statement,FY2025,,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-statements,https://indofoodcbp.com/uploads/statement/ICBP_billingual_31_dec_25_released.pdf,direct_document_verified,verified_reference_only,1,audited result source,company_reported_or_audited,ICBP consolidated,preserve overseas and consolidation scope,reference_only,reference_only_pending_specific_terms,2026-08-21,FY2025 direct audited PDF is resolved; earlier years remain official index-level references.
S6BDOC_ICBP_009,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T11,period_results,ICBP full-year financial results FY2022,official_earnings_release,FY2022,2023-03-27,consolidated ICBP,https://www.indofoodcbp.com/press-release/90_icbps-full-year-financial-results-for-the-year-ended-31-december-2022,,direct_page_verified,acquired_reference,2,period-result corroboration,company_reported,ICBP consolidated,management explanations remain company-reported,reference_only,reference_only_pending_specific_terms,2026-08-21,Reconcile headline results with audited reporting.
S6BDOC_ICBP_010,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T11,period_results,ICBP full-year financial results FY2023,official_earnings_release,FY2023,2024-03-25,consolidated ICBP,https://www.indofoodcbp.com/press-release/97_icbps-full-year-financial-results-for-the-year-ended-31-december-2023,,direct_page_verified,acquired_reference,2,period-result corroboration,company_reported,ICBP consolidated,management explanations remain company-reported,reference_only,reference_only_pending_specific_terms,2026-08-21,Reconcile headline results with audited reporting.
S6BDOC_ICBP_011,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T11,period_results,ICBP full-year financial results FY2024,official_earnings_release,FY2024,2025-03-25,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-press-releases/icbps-full-year-financial-results-for-the-year-ended-31-december-2024,,direct_page_verified,acquired_reference,2,period-result and management-explanation source,company_reported,ICBP consolidated,volume/productivity explanations remain company-reported,reference_only,reference_only_pending_specific_terms,2026-08-21,No causal upgrade is permitted from management attribution.
S6BDOC_ICBP_012,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T11,period_results,ICBP FY2025 annual-report approval confirmation,official_earnings_or_agm_release,FY2025,2026-06-26,consolidated ICBP,https://www.indofoodcbp.com/menu/financial-press-releases/icbp-shareholders-approved-all-resolutions-proposed-in-the-agm,,direct_page_verified,verified_reference_only,2,FY2025 annual-result availability corroboration,company_reported,ICBP consolidated,not a substitute for a dedicated full-year earnings release,reference_only,reference_only_pending_specific_terms,2026-08-21,Used together with the FY2025 audited financial statements.
S6BDOC_ICBP_013,Indofood,PT Indofood CBP Sukses Makmur Tbk,S6A_T09;S6A_T11,strategy_events,ICBP Press Releases,official_corporate_press_release_index,2022–2025 archive,,Indonesia / disclosed operating scope,https://www.indofoodcbp.com/press-release,,official_page_verified,verified_reference_only,2,dated strategy-event discovery,company_reported,ICBP and named subsidiaries/brands as stated,article-level scope must be preserved,reference_only,reference_only_pending_specific_terms,2026-08-21,"Includes dated product, channel and activation announcements; later extraction must use article-level pages."
S6BDOC_MYR_AR_2022,Mayora,PT Mayora Indah Tbk,S6A_T14;S6A_T17,annual_reporting,Annual Report & Sustainability Report 2022,annual_report,FY2022,,Indonesia plus exports,https://www.mayoraindah.co.id/content/laporan-tahunan-mayora-21,https://mayoraindah.co.id/assets/upload/file/arsr-2022.pdf,direct_document_verified,verified_reference_only,1,"annual strategy, geography and company-result source",company_reported,PT Mayora Indah Tbk and consolidated subsidiaries,preserve domestic/export scope,reference_only,no_raw_redistribution,2026-08-21,Raw PDF must not be mirrored in the repository.
S6BDOC_MYR_AR_2023,Mayora,PT Mayora Indah Tbk,S6A_T14;S6A_T17,annual_reporting,Annual Report & Sustainability Report 2023,annual_report,FY2023,,Indonesia plus exports,https://www.mayoraindah.co.id/content/laporan-tahunan-mayora-21,https://www.mayoraindah.co.id/assets/upload/file/lt-2023-10e42.pdf,direct_document_verified,verified_reference_only,1,"annual strategy, geography and company-result source",company_reported,PT Mayora Indah Tbk and consolidated subsidiaries,preserve domestic/export scope,reference_only,no_raw_redistribution,2026-08-21,Raw PDF must not be mirrored in the repository.
S6BDOC_MYR_AR_2024,Mayora,PT Mayora Indah Tbk,S6A_T14;S6A_T17,annual_reporting,Annual Report & Sustainability Report 2024,annual_report,FY2024,,Indonesia plus exports,https://www.mayoraindah.co.id/content/laporan-tahunan-mayora-21,,official_index_entry_verified,verified_reference_only,1,"annual strategy, geography and company-result source",company_reported,PT Mayora Indah Tbk and consolidated subsidiaries,preserve domestic/export scope,reference_only,no_raw_redistribution,2026-08-21,Official index entry verified; direct file URL remains unresolved.
S6BDOC_MYR_AR_2025,Mayora,PT Mayora Indah Tbk,S6A_T14;S6A_T17,annual_reporting,Annual Report 2025,annual_report,FY2025,2026,Indonesia plus exports,https://www.mayoraindah.co.id/content/laporan-tahunan-mayora-21,https://www.mayoraindah.co.id/assets/upload/file/ar2025-mayora-web-version.pdf,direct_document_verified,verified_reference_only,1,"annual strategy, geography and company-result source",company_reported,PT Mayora Indah Tbk and consolidated subsidiaries,preserve domestic/export scope,reference_only,no_raw_redistribution,2026-08-21,Official direct document resolved; repository remains reference-only.
S6BDOC_MYR_FS_2022,Mayora,PT Mayora Indah Tbk,S6A_T15;S6A_T17,audited_financials,Annual Financial Statements 2022,audited_financial_statement,FY2022,,consolidated / domestic-export disclosure where reported,https://www.mayoraindah.co.id/id/content/Laporan-Keuangan-Tahunan-23,,official_index_entry_verified,verified_reference_only,1,audited result and geography source,company_reported_or_audited,PT Mayora Indah Tbk and consolidated subsidiaries,do not interpret mixed geography as Indonesian household demand,reference_only,no_raw_redistribution,2026-08-21,Official index entry verified; direct file URL remains unresolved.
S6BDOC_MYR_FS_2023,Mayora,PT Mayora Indah Tbk,S6A_T15;S6A_T17,audited_financials,Annual Financial Statements 2023,audited_financial_statement,FY2023,,consolidated / domestic-export disclosure where reported,https://www.mayoraindah.co.id/id/content/Laporan-Keuangan-Tahunan-23,,official_index_entry_verified,verified_reference_only,1,audited result and geography source,company_reported_or_audited,PT Mayora Indah Tbk and consolidated subsidiaries,do not interpret mixed geography as Indonesian household demand,reference_only,no_raw_redistribution,2026-08-21,Official index entry verified; direct file URL remains unresolved.
S6BDOC_MYR_FS_2024,Mayora,PT Mayora Indah Tbk,S6A_T15;S6A_T17,audited_financials,Annual Financial Statements 2024,audited_financial_statement,FY2024,,consolidated / domestic-export disclosure where reported,https://www.mayoraindah.co.id/id/content/Laporan-Keuangan-Tahunan-23,https://www.mayoraindah.co.id/assets/upload/file/lkk---20241231-a023f.pdf,direct_document_verified,verified_reference_only,1,audited result and geography source,company_reported_or_audited,PT Mayora Indah Tbk and consolidated subsidiaries,do not interpret mixed geography as Indonesian household demand,reference_only,no_raw_redistribution,2026-08-21,Official direct document resolved; raw redistribution is prohibited.
S6BDOC_MYR_FS_2025,Mayora,PT Mayora Indah Tbk,S6A_T15;S6A_T17,audited_financials,Annual Financial Statements 2025,audited_financial_statement,FY2025,,consolidated / domestic-export disclosure where reported,https://www.mayoraindah.co.id/id/content/Laporan-Keuangan-Tahunan-23,https://www.mayoraindah.co.id/assets/upload/file/pt-mayora-indah-tbk-and-its-subsidaries-2025.pdf,direct_document_verified,verified_reference_only,1,audited result and geography source,company_reported_or_audited,PT Mayora Indah Tbk and consolidated subsidiaries,do not interpret mixed geography as Indonesian household demand,reference_only,no_raw_redistribution,2026-08-21,Official direct document resolved; raw redistribution is prohibited.
S6BDOC_MYR_009,Mayora,PT Mayora Indah Tbk,S6A_T16,public_disclosures,Public Expose,public_expose_index,target-period archive with gaps,,Indonesia,https://mayoraindah.co.id/content/Public-Expose-95,,official_page_verified,verified_reference_only,2,strategy and disclosure discovery,company_reported,PT Mayora Indah Tbk,missing archive years are not interpreted as no action,reference_only,no_raw_redistribution,2026-08-21,Target-period archive coverage is incomplete.
S6BDOC_MYR_010,Mayora,PT Mayora Indah Tbk,S6A_T16,public_disclosures,Information Disclosure,regulatory_disclosure_index,current_archive,,transaction-specific,https://mayoraindah.co.id/en/content/Keterbukaan-Informasi-91,,official_page_verified,verified_reference_only,1,ownership/capital-action discovery,company_reported_or_filing,transaction-specific scope,use filing date and stated transaction perimeter,reference_only,no_raw_redistribution,2026-08-21,Use only dated disclosure records with explicit scope.
S6BDOC_UNV_AR_2022,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T19;S6A_T21,annual_reporting,Annual Report 2022,annual_report,FY2022,2023-05-01,Indonesia,https://www.unilever.co.id/en/investors/annual-financial-and-sustainability-report/annual-reports/,https://www.unilever.co.id/files/d5395e35-a1aa-4965-a059-828b456c10fe/unilever-ar-2022-130723-aqtsgf--1-.pdf,direct_document_verified,verified_reference_only,1,annual strategy and company-result source,company_reported,controlled portfolio subject to observation-period ownership,apply time-varying ownership to each extracted result,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Direct official PDF resolved; raw report is not stored in the repository.
S6BDOC_UNV_AR_2023,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T19;S6A_T21,annual_reporting,Annual Report 2023,annual_report,FY2023,2024-05-01,Indonesia,https://www.unilever.co.id/en/investors/annual-financial-and-sustainability-report/annual-reports/,https://www.unilever.co.id/files/indonesia-annual-report-2023.pdf,direct_document_verified,verified_reference_only,1,annual strategy and company-result source,company_reported,controlled portfolio subject to observation-period ownership,apply time-varying ownership to each extracted result,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Direct official PDF resolved; raw report is not stored in the repository.
S6BDOC_UNV_AR_2024,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T19;S6A_T21,annual_reporting,Annual Report 2024,annual_report,FY2024,2025-04-30,Indonesia,https://www.unilever.co.id/en/investors/annual-financial-and-sustainability-report/annual-reports/,https://www.unilever.co.id/files/indonesia-annual-reports-2024.pdf,direct_document_verified,verified_reference_only,1,annual strategy and company-result source,company_reported,controlled portfolio subject to observation-period ownership,apply time-varying ownership to each extracted result,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Direct official PDF resolved; raw report is not stored in the repository.
S6BDOC_UNV_AR_2025,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T19;S6A_T21,annual_reporting,Annual Report 2025,annual_report,FY2025,2026-04-29,Indonesia,https://www.unilever.co.id/en/investors/annual-financial-and-sustainability-report/annual-reports/,https://www.unilever.co.id/files/annual-reports-2025.pdf,direct_document_verified,verified_reference_only,1,annual strategy and company-result source,company_reported,controlled portfolio subject to observation-period ownership,apply time-varying ownership to each extracted result,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Direct official PDF resolved; raw report is not stored in the repository.
S6BDOC_UNV_FS_2023,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T20,audited_financials,Annual Financial Statements 2023,audited_financial_statement,FY2023 and FY2022,2024,Indonesia,https://www.unilever.co.id/files/unilever-indonesia-annual-financial-statements-q4-2023.pdf,https://www.unilever.co.id/files/unilever-indonesia-annual-financial-statements-q4-2023.pdf,direct_document_verified,verified_reference_only,1,audited FY2022–FY2023 accounting source,company_reported_or_audited,PT Unilever Indonesia Tbk,use source-native comparators and accounting definitions,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,One audited statement supports both FY2022 and FY2023 comparators.
S6BDOC_UNV_FS_2025,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T20;S6A_T22;S6A_T23,audited_financials,Annual Financial Statements 2025,audited_financial_statement,FY2025 and FY2024,2026,Indonesia with disclosed export scope,https://www.unilever.co.id/files/indonesia-financial-statements-q4-2025.pdf,https://www.unilever.co.id/files/indonesia-financial-statements-q4-2025.pdf,direct_document_verified,verified_reference_only,1,audited FY2024–FY2025 accounting and disposal source,company_reported_or_audited,PT Unilever Indonesia Tbk with discontinued/disposed business treatment,use restated/represented comparators and continuing/disposed scope,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Confirms completion of the Ice Cream separation on 8 December 2025.
S6BDOC_UNV_007,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T21,results_presentations,H1 2024 Earnings Call Presentation,official_investor_presentation,H1_2024,2024,Indonesia,https://www.unilever.co.id/files/eb672ad8-5e4d-45f0-b4de-b372634ad21c/unvr-earnings-call-h1-2024-final.pdf,https://www.unilever.co.id/files/eb672ad8-5e4d-45f0-b4de-b372634ad21c/unvr-earnings-call-h1-2024-final.pdf,direct_document_verified,verified_reference_only,1,strategy and interim-result context,company_reported,PT Unilever Indonesia Tbk,interim outcomes are not substituted for full-year outcomes,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,Strategy statements remain company-reported.
S6BDOC_UNV_008,Unilever Indonesia,PT Unilever Indonesia Tbk,S6A_T21,results_presentations,Q1 2025 Earnings Call Presentation,official_investor_presentation,Q1_2025,2025,Indonesia,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,https://www.unilever.co.id/files/unvr-earnings-call-q1-2025-presentation.pdf,direct_document_verified,verified_reference_only,1,strategy and interim-result context,company_reported,PT Unilever Indonesia Tbk,interim outcomes are context-only unless like-for-like rules apply,reference_only,limited_noncommercial_reproduction_no_combination,2026-08-21,"Product, promotion, place and pricing descriptions remain company-reported."
