target_id,canonical_group,evidence_family,target_period,coverage_status,evidence_document_ids,document_count,primary_gap,stage6b_treatment
S6A_T12,Indofood,segment_evidence,FY2022–FY2025,covered_scope_verified,S6BDOC_IDF_AR_2022;S6BDOC_IDF_AR_2023;S6BDOC_IDF_AR_2024;S6BDOC_IDF_AR_2025;S6BDOC_IDF_013,5,Bogasari mixes consumer and industrial activities.,Extract consumer flour/pasta evidence separately from industrial-only outcomes.
S6A_T13,Indofood,segment_evidence,FY2022–FY2025,covered_scope_verified_with_upstream_separation,S6BDOC_IDF_AR_2022;S6BDOC_IDF_AR_2023;S6BDOC_IDF_AR_2024;S6BDOC_IDF_AR_2025;S6BDOC_IDF_014,5,Agribusiness includes plantations/upstream and downstream consumer EOF.,Extract branded consumer cooking oils/fats separately from upstream and industrial operations.
S6A_T14,Mayora,annual_reporting,FY2022–FY2025,covered,S6BDOC_MYR_AR_2022;S6BDOC_MYR_AR_2023;S6BDOC_MYR_AR_2024;S6BDOC_MYR_AR_2025,4,,Proceed with consolidated-scope extraction while preserving domestic/export distinctions.
S6A_T15,Mayora,audited_financials,FY2022–FY2025,covered,S6BDOC_MYR_FS_2022;S6BDOC_MYR_FS_2023;S6BDOC_MYR_FS_2024;S6BDOC_MYR_FS_2025,4,Some direct file URLs are unresolved but official index entries are verified.,Use audited definitions and preserve consolidated scope.
S6A_T16,Mayora,public_disclosures,2022–2025,covered_with_period_gaps,S6BDOC_MYR_009;S6BDOC_MYR_010,2,Public-expose archive has target-period gaps.,Use only dated disclosures actually available; absence is not evidence of no strategy.
S6A_T17,Mayora,geography_split,FY2022–FY2025,covered,S6BDOC_MYR_AR_2022;S6BDOC_MYR_AR_2023;S6BDOC_MYR_AR_2024;S6BDOC_MYR_AR_2025;S6BDOC_MYR_FS_2022;S6BDOC_MYR_FS_2023;S6BDOC_MYR_FS_2024;S6BDOC_MYR_FS_2025,8,,Retain domestic and export measures separately wherever disclosed.
S6A_T18,Mayora,affiliate_context,2022–2025,conditional_sensitivity_only,,0,PT Tirta Fresindo Jaya / Le Minerale is outside strict-control primary Mayora scope.,Do not acquire or use as primary Mayora evidence; add only if a pre-specified sensitivity analysis requires it.
S6A_T19,Unilever Indonesia,annual_reporting,FY2022–FY2025,covered,S6BDOC_UNV_AR_2022;S6BDOC_UNV_AR_2023;S6BDOC_UNV_AR_2024;S6BDOC_UNV_AR_2025,4,,Apply observation-period ownership to every later extracted brand/business result.
S6A_T20,Unilever Indonesia,audited_financials,FY2022–FY2025,covered,S6BDOC_UNV_FS_2023;S6BDOC_UNV_FS_2025,2,,"Use source-native restated/represented comparators, geography and discontinued-business treatment."
S6A_T21,Unilever Indonesia,results_presentations,2022–2025,covered,S6BDOC_UNV_AR_2022;S6BDOC_UNV_AR_2023;S6BDOC_UNV_AR_2024;S6BDOC_UNV_AR_2025;S6BDOC_UNV_007;S6BDOC_UNV_008,6,Interim presentations contain interim outcomes.,Use presentations primarily for documented strategy actions; do not substitute interim outcomes for full-year company results.
S6A_T22,Unilever Indonesia,disposal_filings_and_financials,Indonesia,covered_context_only,S6BDOC_UNV_FS_2025;S6BDOC_UNV_009,2,SariWangi completion occurs after the primary FY2022–FY2025 result window.,Use disposal evidence for ownership-period validity only; do not carry disposed businesses into later outcomes.
S6A_T23,Unilever Indonesia,continuing_operation_bridge,FY2024–FY2025,covered,S6BDOC_UNV_FS_2025,1,,Use the source-reported comparator and continuing/disposed-business presentation.
S6A_T24,Cross-company context,official_context,2022–2025,conditional_not_acquired,,0,Macro/input-cost context is only required when needed to assess a specific disclosed alternative factor.,Defer acquisition until a later extraction/linkage question explicitly requires it.
S6A_T25,Cross-company context,consumer_reach,2022–2025 study editions,inherited_limited_context,S6BDOC_WPN_001,1,Public consumer-reach evidence is limited and copyrighted.,Use only narrow factual context; CRP remains source-native and is not market share.
S6A_T26,Cross-company context,market_measurement,2022–2025,conditional_not_acquired,,0,No market-measurement source is required until a specific later claim needs it.,Acquire only a source that explicitly measures a defined market share; otherwise do not use market-share terminology.
